,date_open,date_closed,coin_1,coin_1_pnl,coin_2,coin_2_pnl,overall_pnl,position_status
0,2023-06-19T13:46:00.005025,2023-06-19T05:48:33.230Z,ZEC-USD,-0.47514,ZRX-USD,-0.30104,-0.77618,CLOSED
1,2023-06-19T13:46:39.614580,2023-06-19T05:48:36.116Z,MKR-USD,-0.30429,BCH-USD,-0.23343,-0.53772,CLOSED
2,2023-06-19T13:47:44.608109,2023-06-19T05:48:39.613Z,NEAR-USD,-0.140696,ADA-USD,-0.532,-0.672696,CLOSED
