,series_1,series_2,hedge_ratio,half_life,trading_pair
72,COMP-USD,CRV-USD,42.996247992664465,1.0,COMP-USD-CRV-USD
73,XLM-USD,ALGO-USD,0.6937850969677632,2.0,XLM-USD-ALGO-USD
74,XLM-USD,AAVE-USD,0.0015181421277870616,3.0,XLM-USD-AAVE-USD
75,EOS-USD,NEAR-USD,0.5568035861359087,8.0,EOS-USD-NEAR-USD
76,EOS-USD,DOGE-USD,11.300751036653104,9.0,EOS-USD-DOGE-USD
77,EOS-USD,LTC-USD,0.00895741964738281,15.0,EOS-USD-LTC-USD
78,NEAR-USD,UMA-USD,0.8120807995249255,2.0,NEAR-USD-UMA-USD
79,NEAR-USD,DOT-USD,0.27586073634633596,3.0,NEAR-USD-DOT-USD
80,NEAR-USD,SOL-USD,0.07773586007651691,1.0,NEAR-USD-SOL-USD
81,NEAR-USD,DOGE-USD,20.30830809797143,2.0,NEAR-USD-DOGE-USD
82,NEAR-USD,LTC-USD,0.01608041633753515,2.0,NEAR-USD-LTC-USD
83,NEAR-USD,UNI-USD,0.29006708498967315,6.0,NEAR-USD-UNI-USD
84,NEAR-USD,MATIC-USD,1.9270184875623875,2.0,NEAR-USD-MATIC-USD
85,NEAR-USD,1INCH-USD,4.472547889217231,2.0,NEAR-USD-1INCH-USD
86,ALGO-USD,DOT-USD,0.025411611329059433,2.0,ALGO-USD-DOT-USD
87,ALGO-USD,AAVE-USD,0.0021848638196978946,2.0,ALGO-USD-AAVE-USD
88,XMR-USD,SOL-USD,8.326198513445224,3.0,XMR-USD-SOL-USD
89,SUSHI-USD,UMA-USD,0.40118009105598257,2.0,SUSHI-USD-UMA-USD
90,SUSHI-USD,CRV-USD,0.945270550975632,1.0,SUSHI-USD-CRV-USD
91,SUSHI-USD,MATIC-USD,0.9529895532412658,1.0,SUSHI-USD-MATIC-USD
92,SUSHI-USD,AVAX-USD,0.05170265941191556,1.0,SUSHI-USD-AVAX-USD
93,ADA-USD,DOT-USD,0.061155790514464355,3.0,ADA-USD-DOT-USD
94,ADA-USD,SOL-USD,0.017249903865373253,10.0,ADA-USD-SOL-USD
95,ADA-USD,AAVE-USD,0.005262873124738696,2.0,ADA-USD-AAVE-USD
96,ADA-USD,MATIC-USD,0.4280275229456653,1.0,ADA-USD-MATIC-USD
97,UMA-USD,DOT-USD,0.339707789791514,2.0,UMA-USD-DOT-USD
98,UMA-USD,CRV-USD,2.35432768548388,1.0,UMA-USD-CRV-USD
99,UMA-USD,UNI-USD,0.35709857038247744,8.0,UMA-USD-UNI-USD
100,DOT-USD,MATIC-USD,6.9725118598050075,3.0,DOT-USD-MATIC-USD
101,DOT-USD,ETH-USD,0.0026610022922763706,2.0,DOT-USD-ETH-USD
102,CRV-USD,LTC-USD,0.008401576979229696,2.0,CRV-USD-LTC-USD
103,CRV-USD,UNI-USD,0.15130292465305528,5.0,CRV-USD-UNI-USD
104,CRV-USD,MATIC-USD,1.007198380148993,1.0,CRV-USD-MATIC-USD
105,CRV-USD,ETH-USD,0.000383197904179577,4.0,CRV-USD-ETH-USD
106,SOL-USD,DOGE-USD,260.748423762689,2.0,SOL-USD-DOGE-USD
107,SOL-USD,LTC-USD,0.20658941191718452,2.0,SOL-USD-LTC-USD
108,SOL-USD,1INCH-USD,57.47784107326565,2.0,SOL-USD-1INCH-USD
109,DOGE-USD,AAVE-USD,0.0011674797228206398,2.0,DOGE-USD-AAVE-USD
110,DOGE-USD,MATIC-USD,0.0946120698199969,2.0,DOGE-USD-MATIC-USD
111,DOGE-USD,AVAX-USD,0.0051411859492980945,5.0,DOGE-USD-AVAX-USD
112,LTC-USD,UNI-USD,18.03718649388442,5.0,LTC-USD-UNI-USD
113,LTC-USD,AVAX-USD,6.501394132167428,5.0,LTC-USD-AVAX-USD
114,AAVE-USD,ETH-USD,0.030921268637283318,3.0,AAVE-USD-ETH-USD
